'Savestate version is found in /PCSX2/SaveState.h, it's a const named g_saveversion
'The code responsible for the header is /PCSX2/gui/SysState.cpp
'WxSavestates implemented in r4132
savestate version	min pcsx2 revision
0x9A0A0000	5404
0x9A090000	5380
0X9A080000	5224
0X9A070000	5149
0X9A060000	4962
0X9A050000	4942
0X9A040000	4941
0X9A030000	4865
0X9A020000	4821
0X9A010000	4132
0X8B4C0000	3833
0X8B4B0000	3788
0X8B4A0000	3764
0X8B490000	3726
0X8B480000	3587
0X8B470000	3578
0X8B460001	3331
0X8B460000	3308
0X8B450000	3305
0X8B440000	3280
0X8B430000	2955
0X8B420000	2671
0X8B410004	2669
0X8B410003	1892
0X8B410002	1832
0X8B410001	854
0X8B410000	815
0X8B400006	701
0X8B400005	677
0X8B400004	538
0X8B400003	532
0X8B400002	426
